,id,clean_title,views,likes,dislikes,text_list
0,HD0LD6UOvcQ,covid cases surge south africa omicron discovery l gma,14078,151,31,"['covid', 'cases', 'surge', 'south', 'africa', 'omicron', 'discovery', 'l', 'gma']"
1,BtELl7-zE_w,omicron symptoms quottotally differentquot delta variant south african doctor,289339,2549,287,"['omicron', 'symptoms', 'quottotally', 'differentquot', 'delta', 'variant', 'south', 'african', 'doctor']"
2,4EUVge5_a14,sa look current situation south africa prof mosa moshabela,46197,130,141,"['sa', 'look', 'current', 'situation', 'south', 'africa', 'prof', 'mosa', 'moshabela']"
3,OFR4LgTqrSM,discussion cases climbing,18726,44,86,"['discussion', 'cases', 'climbing']"
4,N9iKM417OPI,omicron variant fuels spike south africa covid infections dw news,131891,1094,95,"['omicron', 'variant', 'fuels', 'spike', 'south', 'africa', 'covid', 'infections', 'dw', 'news']"
5,V7GLI2dPxFY,south africa sees spike cases omicron variant spreads,21425,80,330,"['south', 'africa', 'sees', 'spike', 'cases', 'omicron', 'variant', 'spreads']"
6,m7WSt3Enu5s,omicron rising infection rates shaping life south africa special,198266,1562,132,"['omicron', 'rising', 'infection', 'rates', 'shaping', 'life', 'south', 'africa', 'special']"
7,n97LjnHA5wc,covid cases surge south africa omicron variant emerged bbc news,80529,687,416,"['covid', 'cases', 'surge', 'south', 'africa', 'omicron', 'variant', 'emerged', 'bbc', 'news']"
8,kF7cgvk6gL4,south africa reports rise number kids hospitalized omicron variant,31120,193,260,"['south', 'africa', 'reports', 'rise', 'number', 'kids', 'hospitalized', 'omicron', 'variant']"
9,D7Eh2VstdBY,new variant emerges south africa,704648,3667,7635,"['new', 'variant', 'emerges', 'south', 'africa']"
10,8a6a0ax1Jek,discussion sa taking jabs africa,1263,8,14,"['discussion', 'sa', 'taking', 'jabs', 'africa']"
11,07_woreR3dw,south africa getting identifying coronavirus omicron variant dw news,55900,816,93,"['south', 'africa', 'getting', 'identifying', 'coronavirus', 'omicron', 'variant', 'dw', 'news']"
12,VRS8Zot1bQA,new variant south africa raises concerns coronavirus news australia,241156,836,1927,"['new', 'variant', 'south', 'africa', 'raises', 'concerns', 'coronavirus', 'news', 'australia']"
13,Hm-WzJ0KR0M,new variant discovered south africa dw news,335746,4476,442,"['new', 'variant', 'discovered', 'south', 'africa', 'dw', 'news']"
